symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
A,2.1059237287198016,0.6209613869188336,0.3112687155240346,0.06776989755713157,2.103131842949534,0.6903765690376569,0.25801952580195253,0.051603905160390484,4.208528428710336,0.033123028391167195,0.1999211356466877,0.7669558359621452,4.772378672913377,0.020897357098955124,0.21880762138905963,0.7602950215119852,100.0,100.0,0,0,stay100,0,100->100,0.033123028391167195,0.020897357098955124,-0.012225671292212071,positive_near_zero_share,Positive near-zero share,positive,share,signed
AA,0.9898089555610506,0.5977066411849022,0.316292403248925,0.08600095556617288,0.8559841233205603,0.6531886024423338,0.2729986431478969,0.07381275440976931,2.642643308014884,0.027469577666428054,0.30690765926986396,0.6656227630637079,2.1375212761996734,0.027059334927189736,0.2758096066072593,0.6971310584655509,100.0,100.0,0,0,stay100,0,100->100,0.027469577666428054,0.027059334927189736,-0.00041024273923831803,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAAU,0.2762243255297674,0.6022346368715084,0.33407821229050283,0.06368715083798873,0.21167948639871967,0.6071428571428574,0.31390977443609014,0.07894736842105253,0.541955212994717,0.02220956719817756,0.33428246013667423,0.6435079726651481,0.6899477996529702,0.019607843137254884,0.44348327566320644,0.5369088811995387,100.0,100.0,0,0,stay100,0,100->100,0.02220956719817756,0.019607843137254884,-0.0026017240609226763,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAL,0.8025761355148747,0.46414983904009366,0.42595844307872405,0.10989171788118225,0.5104086634595758,0.657303370786517,0.28932584269662925,0.053370786516853806,2.424874458020359,0.030511429678419216,0.20302208446338627,0.7664664858581945,1.7051854974005305,0.015695067264573943,0.23626681614349776,0.7480381165919283,100.0,100.0,0,0,stay100,0,100->100,0.030511429678419216,0.015695067264573943,-0.014816362413845274,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAMI,9.310422752115434,0.7281553398058253,0.22330097087378642,0.04854368932038835,10.84862571721145,0.6634304207119741,0.2944983818770227,0.04207119741100323,13.378083177796935,0.033783783783783786,0.1689189189189189,0.7972972972972973,19.274742779123258,0.03825136612021857,0.3369763205828779,0.6247723132969034,100.0,100.0,0,0,stay100,0,100->100,0.033783783783783786,0.03825136612021857,0.0044675823364347875,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAOI,0.9618327013798385,0.6356589147286822,0.2984496124031007,0.065891472868217,2.372921163242984,0.7068345323741008,0.2452038369304557,0.04796163069544363,1.2227950622193295,0.04268292682926828,0.3018292682926829,0.6554878048780488,2.9348539327159933,0.031022782355792516,0.2481822588463403,0.7207949587978673,100.0,100.0,0,0,stay100,0,100->100,0.04268292682926828,0.031022782355792516,-0.011660144473475766,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAON,3.696617991781546,0.7481751824817519,0.22262773722627735,0.029197080291970785,5.495439078432471,0.729903536977492,0.23472668810289388,0.03536977491961413,7.595605581653324,0.015985790408525744,0.16163410301953818,0.822380106571936,8.799770614338811,0.02208835341365461,0.1927710843373494,0.7851405622489961,100.0,100.0,0,0,stay100,0,100->100,0.015985790408525744,0.02208835341365461,0.006102563005128864,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAP,2.251789943472037,0.6877679697351828,0.25825977301387143,0.05397225725094577,2.09219727250708,0.6978116547823949,0.2289156626506024,0.07327268256700269,4.012899808467445,0.025049532974808927,0.20987829040475517,0.7650721766204358,3.2769354870592826,0.024646781789638927,0.22150706436420717,0.7538461538461538,100.0,100.0,0,0,stay100,0,100->100,0.025049532974808927,0.024646781789638927,-0.00040275118517000066,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPD,0.46441881006232594,0.5734597156398106,0.3214849921011058,0.10505529225908362,0.9503043205796252,0.5268292682926831,0.36463414634146346,0.1085365853658536,2.3521748895099797,0.014036182158452901,0.16469120399251402,0.8212726138490332,4.712118740825314,0.014018691588785043,0.1925725528775209,0.7934087555336939,100.0,100.0,0,0,stay100,0,100->100,0.014036182158452901,0.014018691588785043,-1.749056966785824e-05,positive_near_zero_share,Positive near-zero share,positive,share,signed
AAPL,0.2962128998592684,0.7093725088258743,0.24649812094294501,0.044129370231180666,0.36583216945972813,0.6868448945942766,0.2519137910729008,0.06124131433282278,0.4082752222977708,0.031562422539866096,0.22085433363628845,0.7475832438238456,0.537438521003492,0.03535353535353534,0.2384960718294052,0.7261503928170595,100.0,100.0,0,0,stay100,0,100->100,0.031562422539866096,0.03535353535353534,0.0037911128136692424,positive_near_zero_share,Positive near-zero share,positive,share,signed
