symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
A,1.5225861507539946,0.5427728613569321,0.336283185840708,0.12094395280235985,1.1881698092685744,0.696969696969697,0.253030303030303,0.04999999999999998,3.476347140659563,0.07235142118863047,0.231266149870801,0.6963824289405686,2.4033434778387077,0.038202247191011215,0.2621722846441948,0.699625468164794,100.0,100.0,0,0,stay100,0,100->100,3.476347140659563,2.4033434778387077,-0.27404901918339997,positive_total,Positive total,positive,sum,log1p
AA,0.6867564281015558,0.7062780269058296,0.24247277386290833,0.05124919923126202,0.677183958659397,0.7148821950492097,0.24246943036087085,0.04264837458991946,1.7835429593361356,0.0260236803157375,0.22829304390725208,0.7456832757770104,1.7387046525794063,0.027064699732837684,0.2313857590893251,0.7415495411778372,100.0,100.0,0,0,stay100,0,100->100,1.7835429593361356,1.7387046525794063,-0.016239508006929304,positive_total,Positive total,positive,sum,log1p
AAAU,0.35515361717109734,0.6769230769230774,0.26153846153846144,0.06153846153846135,0.41820266174762827,0.6161137440758296,0.31753554502369663,0.06635071090047376,1.0528518473533721,0.029540918163672616,0.27664670658682633,0.693812375249501,0.984064557145486,0.03222557905337356,0.33635448136958707,0.6314199395770393,100.0,100.0,0,0,stay100,0,100->100,1.0528518473533721,0.984064557145486,-0.03408242423783525,positive_total,Positive total,positive,sum,log1p
AAL,0.6533066800573677,0.6118210862619808,0.322861199858005,0.06531771388001416,0.8053787235720984,0.7226813590449954,0.24058769513314965,0.036730945821854905,2.3875726912284705,0.019135502671199595,0.26925692083535696,0.7116075764934434,2.056710955237838,0.020496224379719524,0.1805106076950737,0.7989931679252069,100.0,100.0,0,0,stay100,0,100->100,2.3875726912284705,2.056710955237838,-0.10277415797283562,positive_total,Positive total,positive,sum,log1p
AAMI,5.492917577716513,0.6261682242990654,0.308411214953271,0.06542056074766353,7.272943343533677,0.642156862745098,0.29901960784313725,0.0588235294117647,9.445764806540545,0.032608695652173905,0.2554347826086957,0.7119565217391305,10.659853233904752,0.07357859531772575,0.25418060200668896,0.6722408026755853,100.0,100.0,0,0,stay100,0,100->100,9.445764806540545,10.659853233904752,0.10995497910820662,positive_total,Positive total,positive,sum,log1p
AAOI,0.6863422655422817,0.7946428571428573,0.17857142857142855,0.02678571428571428,1.451523825911221,0.6881578947368421,0.2710526315789473,0.0407894736842105,2.4328382091096956,0.027707808564231728,0.21662468513853902,0.7556675062972292,3.9305737285859124,0.021865889212827967,0.23275024295432462,0.7453838678328475,100.0,100.0,0,0,stay100,0,100->100,2.4328382091096956,3.9305737285859124,0.36206797102111454,positive_total,Positive total,positive,sum,log1p
AAON,3.5036125211113838,0.7551020408163266,0.22040816326530616,0.02448979591836735,3.6183459993439877,0.7836644591611479,0.19205298013245034,0.024282560706401755,6.235000241651279,0.013761467889908258,0.20183486238532108,0.7844036697247706,5.383587645823064,0.013353115727002962,0.258160237388724,0.728486646884273,100.0,100.0,0,0,stay100,0,100->100,6.235000241651279,5.383587645823064,-0.12520012724209084,positive_total,Positive total,positive,sum,log1p
AAP,1.5407572284694797,0.7639037433155079,0.19866310160427805,0.03743315508021391,1.2888316137184916,0.7512889255516603,0.21097133429573112,0.03773974015260876,1.901228505183596,0.04507042253521123,0.25807150595882994,0.6968580715059589,2.284493239824797,0.03932518906340896,0.24944735311227456,0.7112274578243164,100.0,100.0,0,0,stay100,0,100->100,1.901228505183596,2.284493239824797,0.12407810537614306,positive_total,Positive total,positive,sum,log1p
AAPB,0.0382183186063053,1.0,0.0,0.0,1.4220174049005287,0.8778409090909092,0.10227272727272722,0.019886363636363594,0.1528732744252212,0.0,0.25,0.75,1.3371811392672583,0.024169184290030198,0.28700906344410876,0.6888217522658612,100.0,100.0,0,0,stay100,0,100->100,0.1528732744252212,1.3371811392672583,0.7066882360525047,positive_total,Positive total,positive,sum,log1p
AAPD,0.6853007926067838,0.567956795679568,0.3384338433843385,0.09360936093609352,1.3902903384947234,0.5457317073170732,0.37347560975609756,0.08079268292682926,3.512860498555927,0.02282704126426689,0.22633889376646182,0.7508340649692712,5.6522931901912,0.030371203599550048,0.2347206599175103,0.7349081364829396,100.0,100.0,0,0,stay100,0,100->100,3.512860498555927,5.6522931901912,0.388030426509441,positive_total,Positive total,positive,sum,log1p
