symbol,negative_total_20251031,negative_far_from_zero_share_20251031,negative_mid_range_share_20251031,negative_near_zero_share_20251031,negative_total_20251103,negative_far_from_zero_share_20251103,negative_mid_range_share_20251103,negative_near_zero_share_20251103,positive_total_20251031,positive_near_zero_share_20251031,positive_mid_range_share_20251031,positive_far_from_zero_share_20251031,positive_total_20251103,positive_near_zero_share_20251103,positive_mid_range_share_20251103,positive_far_from_zero_share_20251103,round_lot_20251031,round_lot_20251103,treated_to40,treated_to10,group_label,group_order,actual_transition,y_pre,y_post,delta_y,outcome,display_name,side,family,transform
AAL,2.5431981291200145,0.7129036087369421,0.2609805318138651,0.026115859449192768,2.4215676636369294,0.8114777618364418,0.17245337159253946,0.016068866571018654,5.371690920160543,0.011296577305682008,0.15551059405384138,0.8331928286404766,4.012089437543654,0.00987183927952891,0.1411499826809837,0.8489781780394873,100.0,100.0,0,0,stay100,0,100->100,0.15551059405384138,0.1411499826809837,-0.014360611372857685,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAOI,1.9130130414565631,0.7557328015952144,0.23280159521435692,0.011465603190428709,2.0581873813040725,0.7600922722029989,0.2235037805972062,0.01640394719979493,2.321173351398442,0.00821692686935084,0.13886606409202956,0.8529170090386197,2.587834986284026,0.011925389868514932,0.1544185098358985,0.8336561002955867,100.0,100.0,0,0,stay100,0,100->100,0.13886606409202956,0.1544185098358985,0.015552445743868937,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAON,9.207094389277014,0.8472858077174623,0.13963374754741661,0.013080444735120988,6.064860549036799,0.8274323947588514,0.15862838026205742,0.013939224979091148,9.134834655679025,0.010217534607778507,0.12854317732366513,0.8612392880685563,6.298189446657952,0.01208053691275167,0.12187919463087248,0.8660402684563758,100.0,100.0,0,0,stay100,0,100->100,0.12854317732366513,0.12187919463087248,-0.006663982692792655,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAPD,1.8251764042861998,0.6770164168451107,0.28551034975017836,0.03747323340471087,3.474466278472546,0.6975169300225734,0.2776523702031603,0.024830699774266354,6.1712067288392065,0.008549715009499682,0.13573991978045175,0.8557103652100485,10.554769738723316,0.0076165706854913594,0.11722088054987925,0.8751625487646294,100.0,100.0,0,0,stay100,0,100->100,0.13573991978045175,0.11722088054987925,-0.018519039230572493,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAPL,0.2397098603605205,0.8163417026886174,0.1687206842637726,0.014937613047610074,0.34647023232829083,0.8073981283619482,0.17667084223712323,0.015931029400928415,0.3271842279173543,0.011061884787942825,0.11582411041670158,0.8731140047953556,0.4914970396206117,0.01112634793991131,0.1305138274221363,0.8583598246379525,100.0,100.0,0,0,stay100,0,100->100,0.11582411041670158,0.1305138274221363,0.014689717005434713,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAPU,0.1918015955171644,0.7881355932203391,0.19491525423728812,0.016949152542372763,0.6477892040218947,0.7649183417085428,0.21388190954773867,0.02119974874371855,0.4014830007859289,0.0,0.2186234817813765,0.7813765182186235,0.9757528336962963,0.012093411175979955,0.17702251876563804,0.810884070058382,100.0,100.0,0,0,stay100,0,100->100,0.2186234817813765,0.17702251876563804,-0.04160096301573846,positive_mid_range_share,Positive mid-range share,positive,share,signed
AAXJ,0.3451800401559445,0.7345454545454547,0.23272727272727256,0.03272727272727259,0.0,,,,0.9338689086400831,0.009408602150537614,0.10618279569892468,0.8844086021505377,0.6008679203293646,0.0,0.0,1.0,100.0,100.0,0,0,stay100,0,100->100,0.10618279569892468,0.0,-0.10618279569892468,positive_mid_range_share,Positive mid-range share,positive,share,signed
ABAT,4.313032189739253,0.7340594059405942,0.245940594059406,0.019999999999999983,2.804663491534488,0.6797239321022197,0.29546726357022945,0.02480880432755082,8.665351405365241,0.00798344175044352,0.13443721663709837,0.8575793416124581,7.500029064472751,0.008719308035714277,0.15757533482142858,0.8337053571428571,100.0,100.0,0,0,stay100,0,100->100,0.13443721663709837,0.15757533482142858,0.023138118184330203,positive_mid_range_share,Positive mid-range share,positive,share,signed
ABCL,4.266267561824332,0.7345950704225352,0.25000000000000006,0.015404929577464779,3.6689167383820998,0.668499175371083,0.30896096756459596,0.022539857064321045,13.313308544601462,0.006064880112834979,0.11029619181946403,0.8836389280677011,15.149661144578316,0.00452669418186659,0.10238317134868857,0.8930901344694449,100.0,100.0,0,0,stay100,0,100->100,0.11029619181946403,0.10238317134868857,-0.007913020470775453,positive_mid_range_share,Positive mid-range share,positive,share,signed
ABEO,9.137213758774646,0.7215299913068676,0.2593451173572877,0.019124891335844676,13.088804418975872,0.7125710675931775,0.2716361339229312,0.015792798483891344,27.40899357601713,0.008114374034003089,0.09727588871715609,0.8946097372488409,32.759218640544795,0.00984351337708228,0.12115093387178191,0.8690055527511358,100.0,100.0,0,0,stay100,0,100->100,0.09727588871715609,0.12115093387178191,0.023875045154625824,positive_mid_range_share,Positive mid-range share,positive,share,signed
